dt_id	abbr	bibl	bnf_catalogue_ark	gallica_ark	gallica_page_one	gallica_IIIF_availability
DT64	Dictionnaire topographique des Basses-Pyrénées	Raymond (Paul), <i>Dictionnaire topographique du département des Basses-Pyrénées</i>, Paris, 1863.	ark:/12148/cb31182570c	ark:/12148/bpt6k110099x	f23.image	1
DT65	Dictionnaire topographique des Hautes-Pyrénées	Lejosne (Louis-Antoine) et Aymard (Robert), <i>Dictionnaire topographique du département des Hautes-Pyrénées</i>, Pau, 1992.	ark:/12148/cb35511374r
DT68	Dictionnaire topographique du Haut-Rhin	Stoffel (Georges), <i>Dictionnaire topographique du département du Haut-Rhin</i>, Paris, 1868.	ark:/12148/cb37374245s	ark:/12148/bpt6k399665	f27.image	0
DT71	Dictionnaire topographique de Saône-et-Loire	Rigault (Jean), <i>Dictionnaire topographique du département de Saône-et-Loire</i>, Paris, 2008.	ark:/12148/cb41253627d	ark:/12148/bpt6k3205682j 	f47.image	1
DT72	Dictionnaire topographique de la Sarthe	Vallée (Eugène) et Latouche (Robert), <i>Dictionnaire topographique du département de la Sarthe</i>, tome 1, Paris, 1950-1952.	ark:/12148/cb37374247g	ark:/12148/bpt6k6562600r	f105.image	1
DT72	Dictionnaire topographique de la Sarthe	Vallée (Eugène) et Latouche (Robert), <i>Dictionnaire topographique du département de la Sarthe</i>, tome 2, Paris, 1950-1952.	ark:/12148/cb37374247g	ark:/12148/bpt6k32056458	f7.image	1
DT73	Dictionnaire topographique de la Savoie	Vernier (Jules-Joseph), <i>Dictionnaire topographique du département de la Savoie</i>, Chambéry, 1896.	ark:/12148/cb34107403x	ark:/12148/bpt6k379107q	f189.image	1
DT76	Dictionnaire topographique de la Seine-Maritime	Robillard de Beaurepaire (Charles de) et Laporte (dom Jean), <i>Dictionnaire topographique du département de la Seine-Maritime</i>, 2 t., Paris, 1982-1984.	ark:/12148/cb36592105d
DT77	Dictionnaire topographique de Seine-et-Marne	Stein (Henri) et Hubert (Jean), <i>Dictionnaire topographique du département de Seine-et-Marne</i>, Paris, 1954.	ark:/12148/cb33905694c	ark:/12148/bpt6k96129891	f63.image	1
DT79	Dictionnaire topographique des Deux-Sèvres	Ledain (Bélisaire), <i>Dictionnaire topographique du département des Deux-Sèvres</i>, Poitiers, 1902.	ark:/12148/cb30769363q	ark:/12148/bpt6k110100q	f41.image	1
DT80	Dictionnaire topographique de la Somme	Garnier (Jacques), <i>Dictionnaire topographique du département de la Somme</i>, tome 1, Paris/Amiens, 1867-1878.	ark:/12148/cb30482383j	ark:/12148/bpt6k1109689	f3.image	1
DT80	Dictionnaire topographique de la Somme	Garnier (Jacques), <i>Dictionnaire topographique du département de la Somme</i>, tome 2, Paris/Amiens, 1867-1878.	ark:/12148/cb30482383j
DT86	Dictionnaire topographique de la Vienne	Redet (Louis-François-Xavier), <i>Dictionnaire topographique du département de la Vienne</i>, Paris, 1881.	ark:/12148/cb31186123q	ark:/12148/bpt6k110098j	f39.image	1
DT88	Dictionnaire topographique des Vosges	Marichal (Paul), <i>Dictionnaire topographique du département des Vosges</i>, Paris, 1941.	ark:/12148/cb341987495	ark:/12148/bpt6k6561169q	f139.image	1
DT89	Dictionnaire topographique de l’Yonne	Quantin (Maximilien), <i>Dictionnaire topographique du département de l’Yonne</i>, Paris, 1862.	ark:/12148/cb31161145d	ark:/12148/bpt6k1100975	f26.image	1
