1001	(4.924699203187253, 46.15678199203189)
1002	(5.428759166666667, 46.01008562499999)
1004	(5.375992044198896, 45.95840939226519)
1005	(4.9106016993464, 46.00012039215686)
1006	(5.602491785714287, 45.74642690476188)
1007	(5.366542283950616, 46.00144716049382)
1008	(5.331830405405406, 45.93598324324325)
1009	(5.657441812080535, 45.78647100671141)
1010	(5.789042054794521, 45.91937534246575)
1011	(5.659916511627907, 46.207558720930244)
1012	(5.504017549019607, 46.00481852941176)
1013	(5.493098030303028, 45.891865)
1014	(5.687517123287672, 46.286193698630136)
1015	(5.644524169884171, 45.717191583011534)
1016	(4.969548135593215, 46.47556610169492)
1017	(5.481694020618556, 45.93517195876287)
1019	(5.5744975000000005, 45.85662863636362)
1021	(4.819137916666666, 45.99437624999999)
1022	(5.692361978021976, 45.869468571428584)
1023	(4.88606418181818, 46.38608654545455)
1024	(5.181649342105264, 46.28585890350878)
1025	(4.957910974999996, 46.32233749999998)
1026	(4.929567555555556, 46.30790644444445)
1027	(5.102156575342464, 45.829997397260264)
1028	(4.906575535714284, 46.11952910714286)
1029	(5.2629440419947535, 46.42501007874015)
1030	(4.756953913043479, 46.00095347826086)
1031	(5.639985, 46.241422380952386)
1032	(5.132760642201835, 45.86536266055046)
1033	(5.824828816326525, 46.10492359183673)
1034	(5.681561923076923, 45.74780620192306)
1035	(5.779040574712644, 46.255558275862086)
1036	(5.657044817073169, 45.89224689024389)
1037	(5.478674850746267, 45.83573522388058)
1038	(5.284749619047618, 46.32148171428572)
1039	(5.745856494845361, 45.85839020618557)
1040	(5.0407462424242455, 46.36875927272729)
1041	(5.365597755102041, 45.93878122448978)
1042	(4.845371071428572, 46.217906547619044)
1043	(4.996467328244274, 45.84200389312976)
1044	(5.772225974025978, 46.077800909090925)
1045	(5.039526984126985, 45.95549015873016)
1046	(4.944527557251908, 46.22891999999998)
1047	(5.249260789473685, 45.84356526315789)
1049	(5.021859759999998, 45.84861648)
1050	(4.998580071942448, 46.371581366906454)
1051	(5.467445730337078, 46.19633808988762)
1052	(4.999352347417841, 46.021790328638474)
1053	(5.246123743016761, 46.20744972067036)
1054	(5.141194534883722, 45.88773872093026)
1056	(5.456540828729284, 46.03494314917126)
1057	(4.914522211538463, 46.40668846153844)
1058	(5.621891111111109, 45.64255796296295)
1059	(5.731922400000001, 45.9507006)
1060	(5.624564113924053, 46.079860253164554)
1061	(5.695201142857142, 45.71647800000001)
1062	(5.100559927007295, 45.8716694160584)
1063	(5.545958870967742, 46.16456741935483)
1064	(5.490781666666665, 45.778150092592604)
1065	(5.145094705882355, 46.211549901960765)
1066	(5.544704361702127, 45.86508255319148)
1067	(5.4945695294117645, 46.12294070588234)
1068	(5.473603417721518, 46.07499202531646)
1069	(5.265423783783786, 46.13265499999999)
1071	(6.076007112676059, 46.317985422535195)
1072	(5.315112159999995, 46.183578639999986)
1073	(5.711683244680854, 45.83257601063833)
1074	(5.173992605042016, 46.00263151260502)
1075	(4.799686198347108, 46.034425041322315)
1076	(5.544979893617019, 45.95639425531914)
1077	(5.460150392156865, 46.12321990196078)
1078	(5.967927155963301, 46.17537394495413)
1079	(5.6934707441860475, 45.931606372093015)
1080	(5.5754613698630155, 46.03268657534247)
1081	(5.82427413580247, 46.220618641975335)
1082	(5.7795182758620705, 46.00190060344828)
1083	(4.855217821782178, 46.08880326732671)
1084	(5.027083503184714, 46.187230382165595)
1085	(5.023853524904212, 46.07192394636017)
1087	(5.683286999999999, 46.18863944444446)
1088	(5.219998169014084, 45.87312380281691)
1089	(5.302841415929205, 45.96491654867258)
1090	(5.206348682170542, 46.027040620155034)
1091	(5.7723086538461565, 46.12978951923079)
1092	(5.238553819444444, 45.97394805555553)
1093	(4.959427812499999, 46.121240208333354)
1094	(5.0009959558823525, 46.43628705882354)
1095	(5.429116491935482, 46.28725032258066)
1096	(5.050540000000002, 46.20315229885059)
1097	(5.727346071428575, 45.882759880952406)
1098	(5.674411239316237, 45.799477435897444)
1099	(5.257502254901961, 45.89779176470587)
1100	(5.600481838235292, 45.82169963235294)
1101	(5.579233164556962, 46.10914873417722)
1102	(4.9651795857988175, 46.38222313609466)
1103	(6.045224504504503, 46.28400972972973)
1104	(5.8707225793650775, 46.220010158730155)
1105	(4.884794736842106, 45.91815421052633)
1106	(5.451214655172413, 46.19854051724138)
1107	(5.432728484848487, 45.902384545454545)
1108	(5.32658937254902, 46.38459690196076)
1109	(5.904609519999997, 46.14152784)
1110	(5.626559047619047, 45.738500285714295)
1111	(5.4713902919708, 45.89000897810217)
1112	(5.558252803738318, 46.10454308411215)
1113	(5.087552124999998, 46.15212268750001)
1114	(5.83043693877551, 46.15661816326529)
1115	(5.063106500000002, 46.267799062499996)
1116	(5.62114014354067, 45.8030023923445)
1117	(5.606319868421054, 45.72786710526314)
1118	(5.788001605839418, 45.97241277372262)
1119	(5.5744444444444,46.035555555556)
1121	(5.4985325000000005, 46.03271819444444)
1122	(5.610379999999999, 45.947902282608695)
1123	(4.834933278688523, 46.23802942622952)
1124	(5.225666235741447, 46.433602965779464)
1125	(5.468859395348838, 46.254723069767444)
1127	(5.350430041493781, 46.32612062240666)
1128	(5.113960387096771, 46.45712948387094)
1129	(5.193311073170732, 45.96586639024392)
1130	(5.178368864864864, 46.313415243243256)
1133	(5.758893552631578, 45.78432592105263)
1134	(4.870838900523559, 46.28349947643979)
1135	(6.002950569620254, 46.290464240506346)
1136	(4.875656363636365, 46.22142923076922)
1138	(5.775434117647059, 45.855868235294125)
1139	(5.166127457044675, 46.48822357388314)
